## Audit History Log

| Date       | Commit      | Report File                            | Summary                                                        |
|------------|-------------|----------------------------------------|----------------------------------------------------------------|
| 2026-02-18 | 941220a     | audit-20260218-941220a.md          | App.tsx decomposition, hook extraction, dependency cleanup, deleted files, new UI features. No blocking doc updates needed. |
| 2026-02-18 | 4d3758e     | audit-20260218-222832-4d3758e.md     | Undo system: in-memory batching, replaceAll support, simplified rollback. All changes backward-compatible. No blocking updates. |
| 2026-02-18 | faee1e5     | audit-20260218-234818-faee1e5.md     | Comprehensive Vitest testing system: 870 tests across 34 files covering lib, server, and hooks. Test-only addition, no source changes. |
| 2026-02-19 | 6c32000     | audit-20260219-012700-6c32000.md     | Early session response, model restart flow, SessionSetupPanel, color-coded sub-agents, clipboard fallback, config save optimization. |
| 2026-02-19 | ddc0172     | audit-c687a54.md                   | Session duplication/deletion feature: branch-session and delete-session routes, branchedFrom metadata, SessionContextMenu UI, comprehensive tests. No blocking doc updates needed. |
| 2026-02-19 | cee442e     | audit-20260219-033024-cee442e.md       | Connected devices tracking, PendingTurnPreview component extraction, enhanced session deletion with process cleanup, README API table updates. |
| 2026-02-19 | 8a3be0f     | audit-20260219-220200-8a3be0f.md       | React Compiler optimizations (96/100), state consolidation, hook extraction, UserMessage/BranchModal bug fixes, usage stats route. |
| 2026-02-20 | 1272be9     | audit-20260220-1272be9.md                | New session-file-changes route, ProjectSwitcherModal, useSessionHistory hook, deleted usage route + 3 hooks, cwd bug fix. PASS — no blocking doc issues. |
| 2026-02-21 | c687a54 | audit-20260221-025258-c687a54.md     | Malewicz Depth/Elevation design system: 5-level elevation tokens, shadow physics, edge highlights in CSS; 42+ components migrated from hardcoded bg-zinc/border-zinc to semantic tokens; UI primitives updated; ChatInput permission badge removed; ConversationTimeline layout simplified. PASS — no blocking doc updates. |
| 2026-02-21 | 0ebdd77     | audit-20260221-052126-0ebdd77.md         | Theme system (dark/oled/light) with useTheme hook, ThemeSelectorModal, FOUC prevention, oklch() CSS variables, 40+ components migrated to semantic tokens. Fixed hover/prose regressions from mechanical replacement. PASS. |
| 2026-02-24 | c687a54 | audit-20260224-c687a54.md              | terminalApp config option, macOS terminal auto-detection (Ghostty/iTerm/Warp/Alacritty/kitty), open-terminal cwd fix, version bump to 0.0.10. README updated with shortcut + config docs. PASS. |
| 2026-02-24 | de9fb65     | audit-20260224-de9fb65.md                    | Smart terminalCommand() builder, Terminal/Open/Reveal quick-action buttons, Electron menu fix, ConfigDialog bug fix, unit tests. PASS. |
| 2026-02-24 | c687a54 | audit-20260224-212000-c687a54.md         | Sub-agent navigation, AgentsPanel unification (background + inline agents), parseSubAgentPath() utility, back-to-main button, agent highlighting. FAIL — docs need updates. |
| 2026-02-24 | c687a54 | audit-20260224-c687a54.md                | notificationSound config, recentlyActive SSE flag, slash suggestions (commands/skills popover), sub-agent UI (scroll-to-top, read-only input), inline agent caching, 26 useLiveSession tests. PASS — preparatory infrastructure. |
| 2026-02-24 | c687a54 | audit-20260224-slash-suggestions-c687a54.md | Slash command/skill suggestions UI + API, recently-completed session indicator, dual-registered routes. PASS — docs slightly stale but no blocking issues. |
| 2026-02-25 | 345514d     | audit-20260225-exitplanmode-loop-fix.md | ExitPlanMode/AskUserQuestion infinite loop fix: buildPermArgs() helper auto-approves these tools in non-bypass modes, loop detection added to detectPendingInteraction(). Internal bug fix, zero API/UI changes. PASS — no doc updates needed. |
| 2026-02-25 | 99a13a4     | audit-20260225-agent-labels.md            | Agent labels feature + ProjectSwitcherModal cwd fix: SubAgentMessage adds agentName/subagentType fields, parser extracts from Task tool inputs, UI displays readable labels (researcher-Explore) instead of truncated IDs, agent-utils.ts shared formatting utilities. PASS — docs need updates: ARCHITECTURE.md + AGENT_INTEGRATION.md SubAgentMessage type definitions. |
| 2026-02-25 | 4832e0b     | audit-4832e0b.md                             | App version display in DesktopHeader (v0.0.12 badge), agent label utility unification: new formatAgentLabel() standalone function, StatsPanel/SessionInfoBar use shared utility. AGENT_INTEGRATION.md comprehensive, accurate. PASS — no blocking doc updates needed. |
| 2026-02-25 | 69c0206 | audit-69c0206.md | Config Browser feature: tree/read/write/create/delete endpoints for .claude/ config files, category-based sidebar + Shiki editor, state management (mainView: "config"), header toggle, slash suggestions edit shortcut. FAIL — ARCHITECTURE.md and QUICK_REFERENCE.md route tables need updating. |
| 2026-02-26 | 057c72b | audit-20260226-voice-config-enhancements.md | Voice input error handling (120s timeout, better error messages, single-click retry), config browser rename endpoint, macOS microphone permission request, search/filter sidebar, inline rename editing, context menu. PASS — ARCHITECTURE.md and QUICK_REFERENCE.md route tables need adding /api/config-browser/rename. |
| 2026-02-27 | c687a54 | audit-c687a54-slash-refactor.md | Slash suggestions hook refactor: fixed temporal dead zone (hook moved before use), stabilized handleEditCommand memoization with ref pattern, removed unused expandCommand prop, threaded onEditCommand prop through ConversationTimeline → TurnSection → UserMessage. All internal changes, no API/route/data model changes. PASS — no doc updates needed. |
| 2026-02-27 | c687a54 | audit-20260227-component-refactoring.md | Large-scale structural refactoring: 17 files (300+ lines each) split into ~50 focused modules. Components (ChatInput, Dashboard, FileChangesPanel, BranchModal, LiveSessions, ConfigDialog), server helpers (security, sessionMetadata, subagentWatcher), routes (config-browser, claude-new, worktrees, ports, projects), lib utils (parser, token-costs, useUndoRedo). All imports preserved via re-exports. Zero breaking changes. Documentation audit: 0 broken references, docs use concept-based references (robust vs file paths). PASS — no doc updates needed. Optional clarification possible but not blocking. |
| 2026-02-27 | c687a54 | audit-20260227-command-expand.md | Command expand feature: inline args in command badges, lazy-fetch with loading state, ReactMarkdown rendering, onExpandCommand callback threaded through component tree, expandable toggle button. Uses existing /api/expand-command endpoint. Frontend-only, zero API/data model changes. README.md already documents the endpoint. PASS — no blocking doc updates needed. Optional: add /api/expand-command to ARCHITECTURE.md API table. |
| 2026-02-27 | c687a54 | audit-20260227-prop-drilling-elimination.md | Major prop elimination via AppContext + SessionContext: ChatArea 22→1 props, ConversationTimeline 17→0, VirtualizedTimeline 20→1, TurnSection 12→3 (restored for memo), ChatInput 10→0, +4 other components. Total ~98 props eliminated (76% reduction). Zero breaking changes; all imports preserved. Documentation accurate but incomplete—context consumption pattern not documented. CONDITIONAL PASS — No blocking updates. Tier 1 recommendation: Add context pattern explanation to ARCHITECTURE.md + QUICK_REFERENCE.md for developer clarity. |
| 2026-02-27 | dbac516 | audit-20260227T145105Z-dbac516.md | Performance optimization pass: useNearViewport IntersectionObserver hook for viewport-only rendering, React.memo() on TurnSectionInner/AgentMessageItem/AgentPanel, memoized markdown/diff computations, VIRTUALIZE_THRESHOLD 30→15. Zero breaking changes, all optimizations transparent. README.md updated (30+ → 15+). PASS — One required update completed. |
| 2026-03-01 | N/A | audit-20260301T020857Z-agent-tool-support.md | Agent tool format support (v2.1.63+): new AgentToolUseResult interface, sessionStatus.ts derivation, live session status display + labels, context split (stable/volatile), file diff viewport rendering, shared IntersectionObserver pool. Zero breaking changes, all tests passing. CONDITIONAL PASS — HIGH priority doc updates needed: README.md status dots + tool colors, README_ARCHITECTURE.md SubAgentMessage type + Agent format section. |
| 2026-03-01 | c687a54 | audit-20260301T051500Z-c687a54.md | AgentStatusIndicator component (animated SVG icons, moved from ChatInput to timeline), built-in skills (simplify/batch/debug) added to slash suggestions, newly completed session green highlighting with auto-dismiss, status label "Idle"→"Done", CSS cleanup. All 1057 tests pass. README.md status colors updated. PASS. |
